carname,starttime,endtime,startlat,startlon,endlat,endlon,timeintrip,dist,year,week,h3_O,h3_D,Month,Date,Year,Hour
9Sc5v3E1Vqu7QXO3U7S3XcEMiPs,2022-01-03 07:49:31,2022-01-03 08:22:50,13.705541322668996,100.5054621876125,13.662393430424638,100.502625296233,1999.0,8351.0,2022,157,8864a4b065fffff,8864a4b223fffff,1,2022-01-03,2022,7
PtmrvGkFPLZKfP0YMhDxQPmR9zA,2022-01-03 07:06:23,2022-01-03 07:18:55,13.7596799,100.4847804,13.780846627507897,100.42785809578622,752.0,7127.0,2022,157,8864a4b1edfffff,8864a4a35dfffff,1,2022-01-03,2022,7
PtmrvGkFPLZKfP0YMhDxQPmR9zA,2022-01-03 07:42:17,2022-01-03 08:09:29,13.749216209088392,100.4789302705119,13.780868551948236,100.44608659366251,1632.0,6879.0,2022,157,8864a4b1e9fffff,8864a4a349fffff,1,2022-01-03,2022,7
q4nbEFHEZDUKWbBW7fcwDuelAVo,2022-01-03 07:47:52,2022-01-03 08:17:52,13.759186564107075,100.6450296158542,13.83887193753318,100.66167436452376,1800.0,10177.0,2022,157,8864a48423fffff,8864a48e89fffff,1,2022-01-03,2022,7
wea+++1FOW7RmIhsuXK0TemMNPU,2022-01-03 07:02:05,2022-01-03 07:37:15,13.782550484547109,100.60117096829902,13.806778155777453,100.64865130199564,2110.0,8421.0,2022,157,8864a4859dfffff,8864a485e5fffff,1,2022-01-03,2022,7
gPhhFxqpa6zjfhS0ttoVdHdRFAU,2022-01-03 07:37:14,2022-01-03 08:11:14,13.734155076135004,100.54560890879786,13.756568677870687,100.55947231106371,2040.0,5411.0,2022,157,8864a48493fffff,8864a484b3fffff,1,2022-01-03,2022,7
OLR1p8xtO4b9fT0j3jjTONXAq5E,2022-01-03 07:43:27,2022-01-03 08:52:32,13.783030464650835,100.5343994378404,13.854851727699492,100.5481301691498,4145.0,10661.0,2022,157,8864a4ba19fffff,8864a4b86bfffff,1,2022-01-03,2022,7
8bDqtwMMHvEdswSFCTyAAfBWdHc,2022-01-03 07:49:25,2022-01-03 08:46:53,13.673358217853076,100.45705705266316,13.706385303634669,100.5362224942218,3448.0,17253.0,2022,157,8864a4b2a5fffff,8864a4b33dfffff,1,2022-01-03,2022,7
dTmdM9Mv1C5g3B5sw18+3eQUZqg,2022-01-03 07:30:43,2022-01-03 08:24:05,13.774269542975617,100.53814884394504,13.771148029358368,100.58380856905526,3202.0,7958.0,2022,157,8864a4ba53fffff,8864a484a7fffff,1,2022-01-03,2022,7
Fwsen5jrBzodxaaeKavJ+9HLvPk,2022-01-03 07:16:59,2022-01-03 08:01:03,13.78683929583616,100.50924196973476,13.777015665059068,100.47863422138091,2644.0,6747.0,2022,157,8864a4bac1fffff,8864a4badbfffff,1,2022-01-03,2022,7
GnzKuM3sVJ9cdtcXakSLNRQIEpw,2022-01-03 07:12:18,2022-01-03 07:39:18,13.689509859992558,100.48906219084782,13.75487667490592,100.47802056070346,1620.0,9108.0,2022,157,8864a4b00dfffff,8864a4b1e1fffff,1,2022-01-03,2022,7
GnzKuM3sVJ9cdtcXakSLNRQIEpw,2022-01-03 07:49:34,2022-01-03 07:58:18,13.752431797538645,100.49625436550416,13.76093604739201,100.4827023439267,524.0,3028.0,2022,157,8864a4b13bfffff,8864a4b1e5fffff,1,2022-01-03,2022,7
01eSjlYfCoAw9i29NwtO4i0Lpmo,2022-01-03 07:22:37,2022-01-03 08:32:37,13.7301935,100.5085097,13.698768597183031,100.53196951893314,4200.0,6210.0,2022,157,8864a4b157fffff,8864a4b339fffff,1,2022-01-03,2022,7
iOmw/5wfHiv1Myh/Uj1zl9Vul6w,2022-01-03 07:09:55,2022-01-03 07:17:54,13.729443207576454,100.55979205966284,13.72031445422111,100.5841519121102,479.0,4034.0,2022,157,8864a48491fffff,8864a484d5fffff,1,2022-01-03,2022,7
iOmw/5wfHiv1Myh/Uj1zl9Vul6w,2022-01-03 07:38:20,2022-01-03 08:13:54,13.738917982149326,100.63130641641985,13.767519511902568,100.64273084428936,2134.0,5634.0,2022,157,8864a48439fffff,8864a485c9fffff,1,2022-01-03,2022,7
sYiGkkC2A2kC094+KefEv6PguTk,2022-01-03 07:34:39,2022-01-03 07:54:42,13.77333290383455,100.56478222728384,13.82913321438352,100.55354582758748,1203.0,7236.0,2022,157,8864a4ba4bfffff,8864a4ba27fffff,1,2022-01-03,2022,7
8C3aT8TFxl/pHk4zaKKM5V0xwug,2022-01-03 07:04:26,2022-01-03 08:34:09,13.718980589684708,100.45848324909376,13.787869232896218,100.48498657491632,5383.0,12620.0,2022,157,8864a4b037fffff,8864a4bad5fffff,1,2022-01-03,2022,7
VlsE3WzxOA/zE+OLP497RAdmA1Q,2022-01-03 07:45:03,2022-01-03 08:27:01,13.7707011800025,100.42580924452,13.790037780470303,100.47834798967324,2518.0,8539.0,2022,157,8864a4b1b3fffff,8864a4bad7fffff,1,2022-01-03,2022,7
AwZH4Fone6PAiPZ/A0Xsyy3E9VQ,2022-01-03 07:05:04,2022-01-03 08:15:07,13.751981450388785,100.50134383617625,13.705984108601609,100.42795174171653,4203.0,11668.0,2022,157,8864a4b139fffff,8864a4b0e3fffff,1,2022-01-03,2022,7
4qnFC2KO6157/ee544Snd84oJKo,2022-01-03 07:39:17,2022-01-03 08:40:51,13.747520341477586,100.5721922864878,13.840603114910646,100.47859918220928,3694.0,19672.0,2022,157,8864a484b9fffff,8864a4b8c1fffff,1,2022-01-03,2022,7
PxD5mKVDqoqNNjT1lpogTs+B/AE,2022-01-03 07:12:43,2022-01-03 07:51:28,13.750820554520535,100.61176442398448,13.8031922889748,100.57885325133356,2325.0,10721.0,2022,157,8864a484e5fffff,8864a4ba61fffff,1,2022-01-03,2022,7
Jj0fxjcxOZdRk5mHckbe8SEWFRo,2022-01-03 07:28:00,2022-01-03 08:33:48,13.6634224444057,100.61504809333093,13.765378482380212,100.50016270934044,3948.0,20032.0,2022,157,8864a486c3fffff,8864a4b131fffff,1,2022-01-03,2022,7
E0VBzHFcwFyvTkj2j77+O60k4SY,2022-01-03 07:01:16,2022-01-03 07:21:12,13.673078294086343,100.60866059386,13.733609118739604,100.56396091828432,1196.0,11252.0,2022,157,8864a4868bfffff,8864a4849dfffff,1,2022-01-03,2022,7
