,startlat,startlon,timeintrip,easting,northing,zone_number,zone_letter
30916,13.7551025021416,100.471711473938,616,659113.7508385836,1521128.1002998867,47,P
30920,13.7766438169924,100.478765834612,720,659861.9437513386,1523515.7969376924,47,P
30922,13.7799267720115,100.475437328213,2280,659499.8166646527,1523876.7663471082,47,P
30931,13.7543400451271,100.483493863534,705,660388.3737965551,1521051.5672487137,47,P
30953,13.787062692678,100.468704591089,3346,658767.0198501325,1524661.7251970381,47,P
30957,13.7658392143671,100.48803564338,421,660871.6479624328,1522326.7051446408,47,P
30966,13.7531793375767,100.480327571858,961,660046.7700636397,1520921.0570609833,47,P
30968,13.7521044379992,100.47930872836,1771,659937.3251716326,1520801.4688580893,47,P
30974,13.7849319248901,100.471119579601,4812,659029.5739101984,1524427.6044111724,47,P
31005,13.7850717151761,100.470989354483,2429,659015.3990527145,1524442.9826409358,47,P
31009,13.7653353889586,100.483348226819,360,660365.1331773169,1522267.8408129683,47,P
31010,13.7753409376795,100.466062111884,1779,658489.2177970076,1523363.2574492437,47,P
31015,13.7787125117724,100.477031551814,1617,659673.016725718,1523743.4958977778,47,P
31032,13.7647002352471,100.485414241842,600,660588.9687488327,1522198.9537195833,47,P
31074,13.7784594786794,100.477070751845,1020,659677.4271527946,1523715.5299286766,47,P
31079,13.7851254783068,100.470939270102,787,659009.9474286387,1524448.8970862858,47,P
31083,13.7788607633291,100.476697608386,1799,659636.8082723616,1523759.6746272584,47,P
31086,13.7784096105505,100.477117122834,3404,659682.47491971,1523710.044017119,47,P
31116,13.7859010470102,100.470113482377,1680,658920.1368016087,1524534.148673266,47,P
31141,13.7787856827138,100.476767423766,1140,659644.4080805342,1523751.415121988,47,P
31147,13.7784801781074,100.477051504021,420,659675.331909569,1523717.8070392336,47,P
31157,13.7804828993353,100.475083812914,2108,659461.2155510184,1523938.0538793018,47,P
31163,13.7785970644191,100.47684747506,3144,659653.191780869,1523730.602214075,47,P
31168,13.7784395314279,100.477089300241,1433,659679.4462593502,1523713.3355639668,47,P
31183,13.7571129313342,100.483316322557,3931,660367.2862991246,1521358.2021564806,47,P
31188,13.7690770335385,100.478129119986,660,659798.2405069959,1522678.292003279,47,P
31206,13.7870701257541,100.467276730927,12279,658612.6329639752,1524661.6046325418,47,P
31208,13.7785855556882,100.476953516333,840,659664.6653567532,1523729.3994583576,47,P
31214,13.7784437660644,100.47708536257,2819,659679.0176197073,1523713.8014094336,47,P
31220,13.7783724463311,100.47715168081,720,659686.236768982,1523705.9556424425,47,P
31221,13.7784844127439,100.47704756635,1260,659674.9032700689,1523718.2728847547,47,P
31222,13.7802292862455,100.475320652169,2682,659486.9957929786,1523910.1548242269,47,P
31223,13.7510205666032,100.470652407272,773,659001.9837765297,1520675.8354211517,47,P
31234,13.7563737800678,100.483318319309,599,660368.0057348206,1521276.4341834607,47,P
31246,13.7708048806235,100.484241312381,3229,660457.972954992,1522873.5044219384,47,P
31247,13.7544754041128,100.461111189773,480,657967.9015835236,1521051.7504687093,47,P
31249,13.7533098609168,100.483600573994,480,660400.6148891253,1520937.6732208806,47,P
31250,13.7635940447312,100.47366789837,1005,659319.562946141,1522068.7749538699,47,P
31252,13.7561559414543,100.486062985376,2909,660664.9515727743,1521254.164805741,47,P
31253,13.7784012389439,100.477124907359,399,659683.3223132645,1523709.1230704025,47,P
31258,13.7749811516514,100.480166375368,3127,660014.5109789947,1523332.7943920922,47,P
31259,13.7870335991167,100.468328508162,481,658726.3769879767,1524658.2582803862,47,P
31275,13.756163,100.4861908,420,660678.7681366829,1521255.0309312565,47,P
31278,13.778362375039,100.477161045825,1380,659687.2562089458,1523704.8477162314,47,P
31281,13.7560807139882,100.484102501519,588,660453.0037559457,1521244.5357561365,47,P
31314,13.7552504707481,100.483584297258,901,660397.5328022905,1521152.3441503176,47,P
31320,13.7439956841775,100.470444817481,4712,658984.2761707627,1519898.56878628,47,P
31336,13.7593068510389,100.469809780246,1740,658905.2713343652,1521591.9524166605,47,P
31362,13.7624260202864,100.472470115026,540,659190.8342397175,1521938.769235787,47,P
31363,13.7815019473001,100.474223122772,6611,659367.4627797003,1524050.2161449105,47,P
31366,13.7624932815495,100.47324792151,781,659274.8950207955,1521946.7245104685,47,P
31368,13.7814648041705,100.474176874642,2881,659362.4874388357,1524046.0765020393,47,P
31370,13.7783540280367,100.477270841112,345,659699.1335557885,1523703.9972362493,47,P
31379,13.7699854708554,100.472824009841,1942,659223.9852944158,1522775.2716619,47,P
31382,13.7786086093116,100.476932079409,1320,659662.3318191005,1523731.9355510622,47,P
31386,13.7738387112993,100.481658637442,720,660176.6435400554,1523207.4040295412,47,P
31389,13.7663532674859,100.4870799988,1020,660767.961132029,1522382.9343313507,47,P
31399,13.7784556360693,100.477176316529,3780,659688.8439974702,1523715.1749374773,47,P
31400,13.7847646522212,100.471355019811,780,659055.143492129,1524409.2555538653,47,P
31411,13.7539415410308,100.469573754249,1260,658883.3698617402,1520998.2574978203,47,P
31413,13.7592645867179,100.469940963725,1064,658919.4852640647,1521587.3634847836,47,P
31414,13.7871168182807,100.466615380079,720,658541.095472361,1524666.3336185794,47,P
